system,number_density,atom_types,unitcell_alpha,unitcell_beta,unitcell_gamma,unitcell_a,unitcell_b,unitcell_c,density,mean_coordination,packing_fraction,reduced_mass,average_mass,largest_pore_radius,bond_types,mean_bond_length,bond_variance,bond_std,bond_strain,electronegativity,effective_electronegativity,types_of_bond_angle,symmetry_number,pointgroup,mean_bond_angle,angle_variance,std_angle,types_puckering,max_puckering,mean_puckering,bond_density,energy,num_layers,layer_width,z_variance,spin_orbit_coupling,oxidation,entropy,linear_centre_fraction,alpha_max,alpha_max_temperature,alpha_300,saruration
beta-β-Pb2N2,0.0347,2,90,90,60,3.648,3.648,10,3.8352,5.19354838709677,0.2522,26.2262,110.5,1.1919,3,2.8982,0.4431,0.6657,0.1237,0.4642,3.09,7,12,-3m,101,924.3091,30.4025,4,1,0.5023,0.0878542142353119,-20.58692611,1,4.62574874,3.8561,45212176,3,5.76282565917539,0,0,0,43.774733592,10
WS2,0.0342,2,90,90,60,3.182,3.182,10,2.8283,4.97297297297297,0.3137,44.16,82.6667,1.71,2,2.6469,0.1233,0.3512,-0.0718,0.7129,3.1,8,12,-6m2,94,903.0757,30.0512,3,0.9931,0.5826,0.0848480672497147,-24.60118492,1,3.139594,1.6428,29986576,6,5.29197879520307,0,-0.231689565,20,15.836789005,40
InBi,0.0097,2,90,90,60,4.8862,4.8862,10,1.567,2.71428571428571,0.1237,148.3642,162,2.7169,1,2.821,0,0,-0.0272,0.4,2.49,1,12,-6m2,120,0,0,1,0.0032,0.0016,0.0128974515622937,-5.78749031,1,0,0,47458321,3,5.76282565917539,0,-7.056423513,20,22.141874251,40
Penta-graphene,0.0454,1,90,90,90,3.6338,3.6338,10,0.5453,2.7037037037037,0.0836,12,12,0.9015,2,1.5108,0.0064,0.0801,-0.0061,0,3.15,3,8,-42m,115,144.157,12.0065,4,0.9831,0.5662,0.061425202530186,-50.32206082,2,0.60595199,0.2448,1296,0,0,0,-2.44227712,150,-0.44076219,330
C3N4,0.0366,2,90,90,121,4.5969,4.6125,10.5024,0.4805,2.38095238095238,0.0601,13.0667,13.1429,1.7908,3,1.3234,0.0022,0.0472,-0.0998,0.41,3.3843,2,2,m,119,22.5733,4.7511,1,0.0032,0.0015,0.0537644197736059,-58.72381426,1,0,0,2401,3,5.67769798247972,0,0,0,18.423206819,10
alpha-α-Ge2N2,0.0483,2,90,90,60,3.0912,3.0912,10,2.1026,3,0.2112,23.4943,43.5,1.7648,2,2.0073,0.0536,0.2316,0.006,0.6417,3.175,1,12,-6m2,109,0.6028,0.7764,2,0.8845,0.5912,0.072504319492748,-25.64063506,1,3.85056024,2.6504,1048576,3,5.76282565917539,0,-0.454222011,60,7.855056408,110
NGY-HEX,0.0155,2,90,90,60,11.5714,11.5726,10,0.1966,2.22222222222222,0.0268,12.6,12.6667,5.1428,3,1.3589,0.0035,0.0596,-0.0879,0.246,3.2867,3,2,m,130,576.3513,24.0073,1,0.0032,0.0016,0.0172452214767623,-150.35310858,1,0,0,2401,2,5.29197879520307,0,-15.736681888,70,-5.638760263,1000
delta-gy,0.0259,1,90,90,120,9.4383,9.4383,10,0.3111,2.23076923076923,0.0477,12,12,2.2759,3,1.3554,0.0063,0.0794,-0.1083,0,3.15,2,4,mm2,150,899.4184,29.9903,1,0.0032,0.0015,0.028520148167769,-170.28694382,1,0,0,1296,0,0,0,-13.06757564,210,-12.260712168,1000
AlP,0.0151,2,90,90,60,3.9154,3.9154,10,0.4369,2.71428571428571,0.0945,28.8621,29,2.0923,1,2.2605,0,0,-0.0085,0.64,2.84,1,12,-6m2,120,0,0,1,0.0032,0.0016,0.0200858922278495,-9.49562339,1,0,0,50625,3,5.76282565917539,0,-15.608821293,100,-6.910919402,880
molybdenene,0.0126,1,90,90,90,4.02,3.96,10,1.2061,2.52777777777778,0.1922,96,96,1.96,3,2.5915,0.3838,0.6195,-0.1586,0,2.47,2,2,-1,126,75.2782,8.6763,2,0.339,0.1482,0.0158789526140492,-17.44719841,1,0.208261579999998,0.0108,3111696,0,0,0,-1.661157799,10,201.796754791,20
GY1,0.0292,1,90,90,120,6.8848,6.8848,10,0.3508,2.21739130434783,0.0538,12,12,2.1696,2,1.3696,0.0066,0.0815,-0.0989,0,3.15,2,24,6/mmm,146,883.2817,29.7201,1,0.0032,0.0015,0.031668715996649,-103.56047074,1,0,0,1296,0,0,0.0208333333333333,-8.950844533,190,-7.599488801,800
C9N4,0.0318,2,90,90,60,6.8653,6.8654,10,0.4018,2.31372549019608,0.0552,12.5517,12.6154,1.9307,4,1.3969,0.0101,0.1007,-0.0656,0.2154,3.2762,4,2,m,124,309.3837,17.5893,1,0.0032,0.0015,0.0361354192475988,-110.63311266,2,0,0,2401,1,5.13174807353806,0,-9.0243115,130,-6.1978047,1000
GaGD-REC,0.012,2,90,90,90,16.339,12.2538,10,0.2018,2.08695652173913,0.0278,12.89,16.8333,5.9077,4,1.4471,0.0743,0.2726,-0.1195,0.1763,3.09,2,1,1,166,661.7577,25.7247,1,0.0032,0.0013,0.01223683941191,-184.98449842,1,0.0032828211657705,0,923521,3,2.38475436312892,0,-9.920261814,40,0.174126474,300
beta-β-Sn2As2,0.0288,2,90,90,60,4.0029,4.0029,10,2.7961,2.86885245901639,0.2639,92.0103,97,1.2115,2,2.6702,0.0051,0.0714,0.0208,0.3855,2.915,2,12,-3m,104,78.6796,8.8702,2,0.9837,0.6058,0.0400861227210568,-18.27314063,2,2.680831685,4.5894,6250000,3,5.76282565917539,0,-9.335649523,40,4.714020732,130
C2Bi2,0.0169,2,90,90,60,3.6981,3.6981,10,1.866,5.11428571428571,0.1302,22.6968,110.5,1.9884,2,2.9545,0.4896,0.6997,0.1304,0.244,2.92,7,6,3m,106,1135.5705,33.6982,4,0.9063,0.3738,0.0424518247109173,-9.54187938,1,0.84460595,0.1783,47458321,3,5.76282565917539,0,0,0,72.276803149,10
c41,0.0359,1,90,90,90,5.7844,5.7844,10,0.4304,2.5,0.0659,12,12,1.3688,2,1.4273,0.0007,0.0261,-0.061,0,3.15,5,16,4/mmm,117,334.5911,18.2918,1,0.0032,0.0015,0.0448302269406178,-106.29692078,1,0,0,1296,0,0,0,-5.964656377,180,-4.896912971,690
